contest_id,state,seat_class,special,election_date,current_party
2026-AL-2,AL,2,false,2026-11-03,REP
2026-AK-2,AK,2,false,2026-11-03,REP
2026-AR-2,AR,2,false,2026-11-03,REP
2026-CO-2,CO,2,false,2026-11-03,DEM
2026-DE-2,DE,2,false,2026-11-03,DEM
2026-FL-3-special,FL,3,true,2026-11-03,REP
2026-GA-2,GA,2,false,2026-11-03,DEM
2026-ID-2,ID,2,false,2026-11-03,REP
2026-IL-2,IL,2,false,2026-11-03,DEM
2026-IA-2,IA,2,false,2026-11-03,REP
2026-KS-2,KS,2,false,2026-11-03,REP
2026-KY-2,KY,2,false,2026-11-03,REP
2026-LA-2,LA,2,false,2026-11-03,REP
2026-ME-2,ME,2,false,2026-11-03,REP
2026-MA-2,MA,2,false,2026-11-03,DEM
2026-MI-2,MI,2,false,2026-11-03,DEM
2026-MN-2,MN,2,false,2026-11-03,DEM
2026-MS-2,MS,2,false,2026-11-03,REP
2026-MT-2,MT,2,false,2026-11-03,REP
2026-NE-2,NE,2,false,2026-11-03,REP
2026-NH-2,NH,2,false,2026-11-03,DEM
2026-NJ-2,NJ,2,false,2026-11-03,DEM
2026-NM-2,NM,2,false,2026-11-03,DEM
2026-NC-2,NC,2,false,2026-11-03,REP
2026-OH-3-special,OH,3,true,2026-11-03,REP
2026-OK-2,OK,2,false,2026-11-03,REP
2026-OR-2,OR,2,false,2026-11-03,DEM
2026-RI-2,RI,2,false,2026-11-03,DEM
2026-SC-2,SC,2,false,2026-11-03,REP
2026-SD-2,SD,2,false,2026-11-03,REP
2026-TN-2,TN,2,false,2026-11-03,REP
2026-TX-2,TX,2,false,2026-11-03,REP
2026-VA-2,VA,2,false,2026-11-03,DEM
2026-WV-2,WV,2,false,2026-11-03,REP
2026-WY-2,WY,2,false,2026-11-03,REP
