model,blend_weight,wave_pp,poll_error_pp,random_mode,random_sd_pp,point_D,point_R,expected_D,expected_R,p_D_control,D_lo70,D_hi70,control_mc_se
Bayesian,0.0,0.0,-5.0,none,0.0,53,47,52.359600663907,47.640399336093,0.9036,51,54,0.0017039859154347496
Bayesian,0.0,0.0,-4.0,none,0.0,51,49,51.97178858240573,48.02821141759427,0.8462,50,53,0.002082831086126125
Bayesian,0.0,0.0,-3.0,none,0.0,51,49,51.57360197626853,48.42639802373147,0.7683666666666666,50,53,0.002435702035842522
Bayesian,0.0,0.0,-2.0,none,0.0,51,49,51.16523155359154,48.83476844640846,0.6755333333333333,50,53,0.002703010968586013
Bayesian,0.0,0.0,-1.0,none,0.0,51,49,50.74720680271783,49.25279319728217,0.5673666666666667,49,52,0.0028604296426832003
Bayesian,0.0,0.0,0.0,none,0.0,51,49,50.32039374858208,49.67960625141792,0.4552,49,52,0.0028751403444006
Bayesian,0.0,0.0,1.0,none,0.0,50,50,49.88597286942724,50.11402713057276,0.3429333333333333,48,51,0.0027406207461219572
Bayesian,0.0,0.0,2.0,none,0.0,50,50,49.44540171081134,50.55459828918866,0.24553333333333333,48,51,0.002484932698991769
Bayesian,0.0,0.0,3.0,none,0.0,50,50,49.000368059737994,50.999631940262006,0.1662,47,51,0.0021492445184296736
Bayesian,0.0,0.0,4.0,none,0.0,49,51,48.55273967738726,51.44726032261274,0.10523333333333333,47,50,0.0017716214690586785
Bayesian,0.0,0.0,5.0,none,0.0,49,51,48.104515576083784,51.895484423916216,0.06093333333333333,46,50,0.001381067971079172
Bayesian,0.0,1.0,-5.0,none,0.0,53,47,52.90924718477308,47.09075281522692,0.9566666666666667,51,54,0.0011755219486899646
Bayesian,0.0,1.0,-4.0,none,0.0,53,47,52.53347640972967,47.46652359027033,0.9231333333333334,51,54,0.0015379443230301739
Bayesian,0.0,1.0,-3.0,none,0.0,52,48,52.147821262857946,47.852178737142054,0.8737,51,54,0.0019178834688270295
Bayesian,0.0,1.0,-2.0,none,0.0,51,49,51.75207359798628,48.24792640201372,0.8051333333333334,50,53,0.002286873038954348
Bayesian,0.0,1.0,-1.0,none,0.0,51,49,51.34631848088778,48.65368151911222,0.7174666666666667,50,53,0.00259941178531406
Bayesian,0.0,1.0,0.0,none,0.0,51,49,50.93096055994417,49.06903944005583,0.6162666666666666,49,52,0.0028076209515188136
Bayesian,0.0,1.0,1.0,none,0.0,51,49,50.506729549400745,49.493270450599255,0.5038666666666667,49,52,0.0028866650243772594
Bayesian,0.0,1.0,2.0,none,0.0,50,50,50.07466616874801,49.92533383125199,0.3893666666666667,48,52,0.0028151984273200328
Bayesian,0.0,1.0,3.0,none,0.0,50,50,49.636092263121284,50.363907736878716,0.2856,48,51,0.002607889568214114
Bayesian,0.0,1.0,4.0,none,0.0,50,50,49.19257039566915,50.80742960433085,0.19656666666666667,48,51,0.0022944005188154796
Bayesian,0.0,1.0,5.0,none,0.0,50,50,48.745858651677516,51.254141348322484,0.12956666666666666,47,50,0.001938892687038623
Bayesian,0.0,2.0,-5.0,none,0.0,54,46,53.448192365988845,46.551807634011155,0.9824333333333334,52,55,0.0007584650923386618
Bayesian,0.0,2.0,-4.0,none,0.0,53,47,53.08283177029378,46.91716822970622,0.9664666666666667,52,55,0.0010393723889746938
Bayesian,0.0,2.0,-3.0,none,0.0,53,47,52.708443342917484,47.291556657082516,0.9399666666666666,51,54,0.0013714874190967783
Bayesian,0.0,2.0,-2.0,none,0.0,53,47,52.3245385523055,47.6754614476945,0.898,51,54,0.0017473408368146152
Bayesian,0.0,2.0,-1.0,none,0.0,51,49,51.93084601301027,48.06915398698973,0.8366666666666667,50,53,0.002134287980846349
Bayesian,0.0,2.0,0.0,none,0.0,51,49,51.52736060211902,48.47263939788098,0.7562666666666666,50,53,0.002478759068267531
Bayesian,0.0,2.0,1.0,none,0.0,51,49,51.11437525698831,48.88562474301169,0.6620333333333334,50,53,0.0027309656344041196
Bayesian,0.0,2.0,2.0,none,0.0,51,49,50.692493350564426,49.307506649435574,0.5522,49,52,0.0028709763728274277
Bayesian,0.0,2.0,3.0,none,0.0,50,50,50.26262212837841,49.73737787162159,0.43733333333333335,49,52,0.0028639884129705606
Bayesian,0.0,2.0,4.0,none,0.0,50,50,49.8259501164419,50.1740498835581,0.3272,48,51,0.0027088752893651884
Bayesian,0.0,2.0,5.0,none,0.0,50,50,49.38391317231785,50.61608682768215,0.23316666666666666,48,51,0.0024413109335097148
Bayesian,0.0,3.0,-5.0,none,0.0,54,46,53.97985783712552,46.02014216287448,0.9942,53,55,0.00043841989005974726
Bayesian,0.0,3.0,-4.0,none,0.0,54,46,53.62311314076888,46.37688685923112,0.9872666666666666,52,55,0.0006473328756148981
Bayesian,0.0,3.0,-3.0,none,0.0,53,47,53.258354380908855,46.741645619091145,0.9749666666666666,52,55,0.0009019731251642253
Bayesian,0.0,3.0,-2.0,none,0.0,53,47,52.884949809480396,47.115050190519604,0.9526,51,54,0.0012268284313627557
Bayesian,0.0,3.0,-1.0,none,0.0,53,47,52.502393781186996,47.497606218813004,0.9188,51,54,0.0015769861550861298
Bayesian,0.0,3.0,0.0,none,0.0,51,49,52.11036823199497,47.88963176800503,0.8653,51,54,0.001971090307418714
Bayesian,0.0,3.0,1.0,none,0.0,51,49,51.708793790245664,48.291206209754336,0.7943333333333333,50,53,0.0023335801456766587
Bayesian,0.0,3.0,2.0,none,0.0,51,49,51.297865865163956,48.702134134836044,0.7055333333333333,50,53,0.002631577783313583
Bayesian,0.0,3.0,3.0,none,0.0,51,49,50.87807299240213,49.12192700759787,0.6003,49,52,0.002828073018859308
Bayesian,0.0,3.0,4.0,none,0.0,51,49,50.45019712722381,49.54980287277619,0.48656666666666665,49,52,0.0028857093036522554
Bayesian,0.0,3.0,5.0,none,0.0,50,50,50.01529799124023,49.98470200875977,0.3731333333333333,48,52,0.0027922801249688927
Bayesian,0.0,4.0,-5.0,none,0.0,54,46,54.50735149085411,45.49264850914589,0.9984,53,56,0.00023075528162969862
Bayesian,0.0,4.0,-4.0,none,0.0,54,46,54.15756451168667,45.84243548831333,0.9959333333333333,53,56,0.0003674293078896894
Bayesian,0.0,4.0,-3.0,none,0.0,54,46,53.800738645046245,46.199261354953755,0.9909333333333333,52,55,0.0005472495537449749
Bayesian,0.0,4.0,-2.0,none,0.0,53,47,53.43622924038169,46.56377075961831,0.9810333333333333,52,55,0.0007875475059157224
Bayesian,0.0,4.0,-1.0,none,0.0,53,47,53.06342905812491,46.93657094187509,0.9635333333333334,52,55,0.0010822330138636023
Bayesian,0.0,4.0,0.0,none,0.0,53,47,52.68183029730455,47.31816970269545,0.9348666666666666,51,54,0.001424675193652016
Bayesian,0.0,4.0,1.0,none,0.0,52,48,52.29108435687628,47.70891564312372,0.8914333333333333,51,54,0.00179610639584218
Bayesian,0.0,4.0,2.0,none,0.0,51,49,51.89105373996516,48.10894626003484,0.8269666666666666,50,53,0.002183978013388176
Bayesian,0.0,4.0,3.0,none,0.0,51,49,51.4818512776377,48.5181487223623,0.7455333333333334,50,53,0.00251471258942397
Bayesian,0.0,4.0,4.0,none,0.0,51,49,51.06386345632377,48.93613654367623,0.6467,50,53,0.002759704754739777
Bayesian,0.0,4.0,5.0,none,0.0,51,49,50.63775682573139,49.36224317426861,0.5366,49,52,0.002879007004738497
Bayesian,0.0,5.0,-5.0,none,0.0,55,45,55.03310917083401,44.96689082916599,0.9994333333333333,54,57,0.00013739790822711533
