model,blend_weight,wave_pp,poll_error_pp,random_mode,random_sd_pp,point_D,point_R,expected_D,expected_R,p_D_control,D_lo70,D_hi70,control_mc_se
Bayesian,0.0,0.0,-5.0,none,0.0,53,47,52.362711019745944,47.637288980254056,0.9041333333333333,51,54,0.0016997671300199612
Bayesian,0.0,0.0,-4.0,none,0.0,51,49,51.974508161521925,48.025491838478075,0.8466666666666667,50,53,0.0020802421511466897
Bayesian,0.0,0.0,-3.0,none,0.0,51,49,51.575918701125616,48.424081298874384,0.7689,50,53,0.0024337405367047655
Bayesian,0.0,0.0,-2.0,none,0.0,51,49,51.16712520189596,48.83287479810404,0.6762333333333334,50,53,0.002701492255663045
Bayesian,0.0,0.0,-1.0,none,0.0,51,49,50.748649663821084,49.251350336178916,0.5677333333333333,49,52,0.0028601409962654848
Bayesian,0.0,0.0,0.0,none,0.0,51,49,50.32135180820843,49.67864819179157,0.45513333333333333,49,52,0.0028751056920991165
Bayesian,0.0,0.0,1.0,none,0.0,50,50,49.886407442825195,50.113592557174805,0.343,48,51,0.002740748073063265
Bayesian,0.0,0.0,2.0,none,0.0,50,50,49.445271432556,50.554728567444,0.2456,48,51,0.0024851602228696105
Bayesian,0.0,0.0,3.0,none,0.0,50,50,48.999631137503044,51.000368862496956,0.16596666666666668,47,51,0.0021480357866527134
Bayesian,0.0,0.0,4.0,none,0.0,49,51,48.5513563204159,51.4486436795841,0.10516666666666667,47,50,0.0017711261849351569
Bayesian,0.0,0.0,5.0,none,0.0,49,51,48.10245050984961,51.89754949015039,0.06063333333333333,46,50,0.001377884032641139
Bayesian,0.0,1.0,-5.0,none,0.0,53,47,52.91248200033218,47.08751799966782,0.9568333333333333,51,54,0.001173361347519106
Bayesian,0.0,1.0,-4.0,none,0.0,53,47,52.53631276760989,47.46368723239011,0.9235666666666666,51,54,0.0015339630470221995
Bayesian,0.0,1.0,-3.0,none,0.0,52,48,52.15025740941073,47.84974259058927,0.8742666666666666,51,54,0.0019141966306366598
Bayesian,0.0,1.0,-2.0,none,0.0,51,49,51.754099983385416,48.245900016614584,0.8055666666666667,50,53,0.002284943560369506
Bayesian,0.0,1.0,-1.0,none,0.0,51,49,51.34791760496776,48.65208239503224,0.7179,50,53,0.0025982018782227064
Bayesian,0.0,1.0,0.0,none,0.0,51,49,50.932107392932245,49.067892607067755,0.6163666666666666,49,52,0.0028074828517665007
Bayesian,0.0,1.0,1.0,none,0.0,51,49,50.507392494072,49.492607505928,0.5040666666666667,49,52,0.0028866558634645166
Bayesian,0.0,1.0,2.0,none,0.0,50,50,50.07480850032944,49.92519149967056,0.3893,48,52,0.0028151110694488294
Bayesian,0.0,1.0,3.0,none,0.0,50,50,49.63567396712415,50.36432603287585,0.28546666666666665,48,51,0.002607524042004144
Bayesian,0.0,1.0,4.0,none,0.0,50,50,49.19155031897404,50.80844968102596,0.19643333333333332,48,51,0.0022938125387579
