target_id,geography,model,has_poll,mean_pp,poll_error_response_pp_per_pp
2026-AK-2,AK,Bayesian,True,-3.090649299631938,-0.6934699940811642
2026-AL-2,AL,Bayesian,True,-21.993429225942343,-0.5786220948234736
2026-AR-2,AR,Bayesian,True,-20.791548093688043,-0.5708261916834197
2026-CO-2,CO,Bayesian,False,17.435602559827313,-0.4057838680988638
2026-DE-2,DE,Bayesian,False,24.95030839200168,-0.41348651499565225
2026-FL-3-special,FL,Bayesian,True,-5.475103329374463,-0.7116147251661368
2026-GA-2,GA,Bayesian,True,5.21859487868883,-0.6860945986121039
2026-IA-2,IA,Bayesian,True,-3.2657182776033253,-0.795293814890794
2026-ID-2,ID,Bayesian,False,-25.97192422766225,-0.44038102658325157
2026-IL-2,IL,Bayesian,False,22.01953043587283,-0.39795667268441415
2026-KS-2,KS,Bayesian,True,-8.381436803044348,-0.6982433873349648
2026-KY-2,KY,Bayesian,True,-13.591163905366097,-0.5520561828147983
2026-LA-2,LA,Bayesian,False,-15.981507625848236,-0.4067126541707171
2026-MA-2,MA,Bayesian,True,25.605718666197298,-0.6236398809799695
2026-ME-2,ME,Bayesian,True,8.185609174065752,-0.7013774051128766
2026-MI-2,MI,Bayesian,True,4.992008279534008,-0.6805137534731674
2026-MN-2,MN,Bayesian,True,8.365787704546761,-0.8439930041508693
2026-MS-2,MS,Bayesian,True,-11.618379520440996,-0.6202871130598219
2026-MT-2,MT,Bayesian,True,-18.693479818819544,-0.889901557454935
2026-NC-2,NC,Bayesian,True,4.749182795412291,-0.6661824084234312
2026-NE-2,NE,Bayesian,False,-24.077548775093245,-0.38728123529516983
2026-NH-2,NH,Bayesian,True,9.954404278050774,-0.7074679245580638
2026-NJ-2,NJ,Bayesian,False,17.718399835995655,-0.39817916480017335
2026-NM-2,NM,Bayesian,True,15.591534913466528,-0.8898606551787344
2026-OH-3-special,OH,Bayesian,True,2.772202302144713,-0.7342049443029449
2026-OK-2,OK,Bayesian,False,-27.864191393559747,-0.44714047997932443
2026-OR-2,OR,Bayesian,False,23.06780264819687,-0.3315362157291095
2026-RI-2,RI,Bayesian,True,27.121881125221112,-0.5697539965794434
2026-SC-2,SC,Bayesian,True,-10.912106872617384,-0.6645138975369624
2026-SD-2,SD,Bayesian,False,-34.04699048379823,-0.38078660816018
2026-TN-2,TN,Bayesian,False,-21.440552042135575,-0.41444821705481527
2026-TX-2,TX,Bayesian,True,0.06446377119782598,-0.7505759218223897
2026-VA-2,VA,Bayesian,False,16.446409747781587,-0.40124298622512156
2026-WV-2,WV,Bayesian,False,-32.463984321955756,-0.28343329895087294
2026-WY-2,WY,Bayesian,False,-43.331189659861465,-0.39208833285932865
2026-AK-2,AK,Corrected 20%,True,-2.9069498410882435,-0.7547759952649314
2026-AL-2,AL,Corrected 20%,True,-21.93208870413866,-0.6628976758587792
2026-AR-2,AR,Corrected 20%,True,-21.298170032060085,-0.6566609533467358
2026-CO-2,CO,Corrected 20%,False,15.138524345475863,-0.324627094479091
2026-DE-2,DE,Corrected 20%,False,23.064608338312702,-0.3307892119965218
2026-FL-3-special,FL,Corrected 20%,True,-6.204813368261027,-0.7692917801329094
2026-GA-2,GA,Corrected 20%,True,4.853587995911094,-0.7488756788896829
2026-IA-2,IA,Corrected 20%,True,-3.705171589563577,-0.8362350519126355
2026-ID-2,ID,Corrected 20%,False,-26.73046998412207,-0.3523048212666013
2026-IL-2,IL,Corrected 20%,False,20.924534176726475,-0.3183653381475313
2026-KS-2,KS,Corrected 20%,True,-7.552581903627303,-0.758594709867972
2026-KY-2,KY,Corrected 20%,True,-15.095435895746203,-0.6416449462518385
2026-LA-2,LA,Corrected 20%,False,-17.18620760792208,-0.3253701233365736
2026-MA-2,MA,Corrected 20%,True,23.63939812100655,-0.6989119047839759
2026-ME-2,ME,Corrected 20%,True,6.541035251460085,-0.7611019240903011
2026-MI-2,MI,Corrected 20%,True,3.2225231985574982,-0.744411002778534
2026-MN-2,MN,Corrected 20%,True,7.628027506799836,-0.8751944033206955
2026-MS-2,MS,Corrected 20%,True,-9.983878968589321,-0.6962296904478573
2026-MT-2,MT,Corrected 20%,True,-20.614854014725232,-0.9119212459639482
2026-NC-2,NC,Corrected 20%,True,4.756648400572153,-0.7329459267387451
2026-NE-2,NE,Corrected 20%,False,-23.407911974284097,-0.30982498823613586
2026-NH-2,NH,Corrected 20%,True,10.235625394611981,-0.7659743396464511
2026-NJ-2,NJ,Corrected 20%,False,16.30286220762638,-0.3185433318401386
2026-NM-2,NM,Corrected 20%,True,15.491487505469435,-0.9118885241429876
2026-OH-3-special,OH,Corrected 20%,True,1.6693902973377024,-0.7873639554423559
2026-OK-2,OK,Corrected 20%,False,-26.64132449469906,-0.3577123839834596
2026-OR-2,OR,Corrected 20%,False,20.131015037079116,-0.26522897258328765
2026-RI-2,RI,Corrected 20%,True,25.021102409896933,-0.6558031972635548
2026-SC-2,SC,Corrected 20%,True,-11.48692289818484,-0.7316111180295699
