observation_id,source,dataset,cycle,geography,source_poll_id,source_question_id,population,reported_n,reported_n_basis,estimate_basis,survey_n,estimate_n,basis_review_status,basis_evidence,basis_notes,selection_status,source_quality_flags,population_n,question_construct,availability_status,documented_release_date,availability_evidence,availability_notes,archive_created_date,n_conflict_values,metadata_version
538:senate:2,538,senate,2014,NE,32945,39543,unknown,721.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:3,538,senate,2014,NE,33777,40963,unknown,681.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:4,538,senate,2014,MI,33068,126637,unknown,687.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:5,538,senate,2014,MI,33061,39666,unknown,500.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:6,538,senate,2014,MI,33037,39642,unknown,600.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:7,538,senate,2014,MI,33031,39636,unknown,829.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:8,538,senate,2014,MI,33027,39632,unknown,717.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:9,538,senate,2014,MI,33010,39613,unknown,750.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:10,538,senate,2014,MI,33007,39610,unknown,852.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:11,538,senate,2014,MI,33008,39611,unknown,1182.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:12,538,senate,2014,MI,32985,39586,unknown,600.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:13,538,senate,2014,MI,34497,126703,unknown,679.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:14,538,senate,2014,MI,32972,39571,unknown,1178.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:15,538,senate,2014,MI,34143,42212,unknown,600.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:16,538,senate,2014,MI,32969,39568,unknown,600.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:17,538,senate,2014,MI,33690,40873,unknown,600.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:18,538,senate,2014,MI,32950,39548,unknown,2560.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:19,538,senate,2014,MI,33687,40870,unknown,654.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:20,538,senate,2014,MI,33694,40877,unknown,600.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:21,538,senate,2014,MI,33729,40913,unknown,615.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:22,538,senate,2014,MI,33714,40898,unknown,1306.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:23,538,senate,2014,MI,34460,42213,unknown,1340.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:24,538,senate,2014,MI,34394,42163,unknown,957.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:25,538,senate,2014,MI,33812,41000,unknown,919.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:26,538,senate,2014,MI,33792,40978,unknown,600.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:27,538,senate,2014,MI,33832,41021,unknown,1032.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:28,538,senate,2014,MI,33819,41008,unknown,723.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:29,538,senate,2014,MI,33830,41019,unknown,1000.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:30,538,senate,2014,MI,33786,40972,unknown,2394.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:31,538,senate,2014,MI,33989,42156,unknown,600.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
538:senate:32,538,senate,2014,MI,34372,42185,unknown,1159.0,unknown,unknown,,,not_reviewed,,,retained_no_time_filter,historical_population_and_publication_date_unavailable,,unknown,not_reviewed,,,,,,basis-availability-v1
