observation_id,source,dataset,source_file,source_rows,source_poll_id,source_question_id,source_race_id,sample_group_id,cycle,geography,geography_type,election_date,poll_start,poll_end,poll_date,date_basis,source_available_date,days_to_election,pollster,population,sample_size,methodology,partisan,source_url,dem_share,rep_share,dem_rep_margin,non_dem_rep_share,response_coverage,reported_answer_sum,outcome_id,matchup_status,selection_status,scalar_seat_mapping_ready,quality_flags,source_stage,source_seat_name,tracking,hypothetical,superseded_by,original_dem_share,original_rep_share,estimate_basis,survey_sample_size,estimate_sample_size,estimate_source,original_outcome_id,original_matchup_status,join_reference_version,canonical_firm,publisher_id,rating_id,rating_name,sponsor_ids,sponsor_names,series_key,identity_basis,rating_family_key,rolling_method_evidence,canonical_sample_group_id,sample_identity_status
538:senate:447,538,senate,historical/tables/senate_polls.csv,447,45731,71421,60,538:45731,2016,KS,state,2016-11-08,,,2016-09-08,median_field_date_only,,61,SurveyUSA,unknown,565.0,IVR/Online Panel,,,0.34,0.5,-0.16,0.16,two_exported_candidates_only,,2016-KS-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.34,0.5,,,,,2016-KS-regular-gen,matched,normalized:20260916T160901.748097Z,surveyusa,,,,,,surveyusa|unspecified,label_only,firm:surveyusa,,538:45731,source_id_only
538:senate:448,538,senate,historical/tables/senate_polls.csv,448,47063,73642,60,538:47063,2016,KS,state,2016-11-08,,,2016-10-13,median_field_date_only,,26,SurveyUSA,unknown,549.0,IVR/Online Panel,,,0.31,0.56,-0.25,0.13,two_exported_candidates_only,,2016-KS-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.31,0.56,,,,,2016-KS-regular-gen,matched,normalized:20260916T160901.748097Z,surveyusa,,,,,,surveyusa|unspecified,label_only,firm:surveyusa,,538:47063,source_id_only
538:senate:449,538,senate,historical/tables/senate_polls.csv,449,48076,75207,60,538:48076,2016,KS,state,2016-11-08,,,2016-10-28,median_field_date_only,,11,SurveyUSA,unknown,596.0,IVR/Online Panel,,,0.31,0.55,-0.24,0.14,two_exported_candidates_only,,2016-KS-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.31,0.55,,,,,2016-KS-regular-gen,matched,normalized:20260916T160901.748097Z,surveyusa,,,,,,surveyusa|unspecified,label_only,firm:surveyusa,,538:48076,source_id_only
538:senate:450,538,senate,historical/tables/senate_polls.csv,450,47899,75125,60,538:47899,2016,KS,state,2016-11-08,,,2016-10-28,median_field_date_only,,11,SurveyMonkey,unknown,1273.0,Online Panel,,,0.39,0.56,-0.17,0.05,two_exported_candidates_only,,2016-KS-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.39,0.56,,,,,2016-KS-regular-gen,matched,normalized:20260916T160901.748097Z,surveymonkey,,,,,,surveymonkey|unspecified,label_only,firm:surveymonkey,,538:47899,source_id_only
538:senate:451,538,senate,historical/tables/senate_polls.csv,451,48337,75723,60,538:48337,2016,KS,state,2016-11-08,,,2016-11-02,median_field_date_only,,6,Fort Hays State University Docking Institute of Public Affairs,unknown,313.0,Live Phone,,,0.13,0.77,-0.64,0.1,two_exported_candidates_only,,2016-KS-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.13,0.77,,,,,2016-KS-regular-gen,matched,normalized:20260916T160901.748097Z,fort hays state university docking institute of public affairs,,,,,,fort hays state university docking institute of public affairs|unspecified,label_only,firm:fort hays state university docking institute of public affairs,,538:48337,source_id_only
538:senate:452,538,senate,historical/tables/senate_polls.csv,452,48876,76530,60,538:48876,2016,KS,state,2016-11-08,,,2016-11-04,median_field_date_only,,4,SurveyMonkey,unknown,1311.0,Online Panel,,,0.37,0.59,-0.22,0.04,two_exported_candidates_only,,2016-KS-regular-gen,matched,retained_no_time_filter,True,historical_population_and_publication_date_unavailable,,,,,,0.37,0.59,,,,,2016-KS-regular-gen,matched,normalized:20260916T160901.748097Z,surveymonkey,,,,,,surveymonkey|unspecified,label_only,firm:surveymonkey,,538:48876,source_id_only
538:senate:453,538,senate,historical/tables/senate_polls.csv,453,45895,71679,61,538:45895,2016,NY,state,2016-11-08,,,2016-09-13,median_field_date_only,,56,Siena College,unknown,600.0,Live Phone,,,0.69,0.23,0.46,0.08,two_exported_candidates_only,,,candidate_or_result_share_mismatch,retained_no_time_filter,False,historical_population_and_publication_date_unavailable,,,,,,0.69,0.23,,,,,,candidate_or_result_share_mismatch,normalized:20260916T160901.748097Z,siena college,,,,,,siena college|unspecified,label_only,firm:siena college,,538:45895,source_id_only
538:senate:454,538,senate,historical/tables/senate_polls.csv,454,46157,72164,61,538:46157,2016,NY,state,2016-11-08,,,2016-09-22,median_field_date_only,,47,Marist College,unknown,676.0,Live Phone,,,0.7,0.24,0.46,0.06,two_exported_candidates_only,,,candidate_or_result_share_mismatch,retained_no_time_filter,False,historical_population_and_publication_date_unavailable,,,,,,0.7,0.24,,,,,,candidate_or_result_share_mismatch,normalized:20260916T160901.748097Z,marist college,,,,,,marist college|unspecified,label_only,firm:marist college,,538:46157,source_id_only
538:senate:455,538,senate,historical/tables/senate_polls.csv,455,47059,73681,61,538:47059,2016,NY,state,2016-11-08,,,2016-10-15,median_field_date_only,,24,Siena College,unknown,611.0,Live Phone,,,0.66,0.27,0.39,0.07,two_exported_candidates_only,,,candidate_or_result_share_mismatch,retained_no_time_filter,False,historical_population_and_publication_date_unavailable,,,,,,0.66,0.27,,,,,,candidate_or_result_share_mismatch,normalized:20260916T160901.748097Z,siena college,,,,,,siena college|unspecified,label_only,firm:siena college,,538:47059,source_id_only
538:senate:456,538,senate,historical/tables/senate_polls.csv,456,47915,75132,61,538:47915,2016,NY,state,2016-11-08,,,2016-10-28,median_field_date_only,,11,SurveyMonkey,unknown,1734.0,Online Panel,,,0.68,0.28,0.4,0.04,two_exported_candidates_only,,,candidate_or_result_share_mismatch,retained_no_time_filter,False,historical_population_and_publication_date_unavailable,,,,,,0.68,0.28,,,,,,candidate_or_result_share_mismatch,normalized:20260916T160901.748097Z,surveymonkey,,,,,,surveymonkey|unspecified,label_only,firm:surveymonkey,,538:47915,source_id_only
