state,seat_class,incumbent,party,source
MD,1,"Alsobrooks, Angela D.",DEM,https://www.senate.gov/senators/
OK,2,"Armstrong, Alan",REP,https://www.senate.gov/senators/
WI,1,"Baldwin, Tammy",DEM,https://www.senate.gov/senators/
IN,1,"Banks, Jim",REP,https://www.senate.gov/senators/
WY,1,"Barrasso, John",REP,https://www.senate.gov/senators/
CO,3,"Bennet, Michael F.",DEM,https://www.senate.gov/senators/
TN,1,"Blackburn, Marsha",REP,https://www.senate.gov/senators/
CT,3,"Blumenthal, Richard",DEM,https://www.senate.gov/senators/
DE,1,"Blunt Rochester, Lisa",DEM,https://www.senate.gov/senators/
NJ,2,"Booker, Cory A.",DEM,https://www.senate.gov/senators/
AR,3,"Boozman, John",REP,https://www.senate.gov/senators/
AL,3,"Britt, Katie Boyd",REP,https://www.senate.gov/senators/
NC,3,"Budd, Ted",REP,https://www.senate.gov/senators/
WA,1,"Cantwell, Maria",DEM,https://www.senate.gov/senators/
WV,2,"Capito, Shelley Moore",REP,https://www.senate.gov/senators/
LA,2,"Cassidy, Bill",REP,https://www.senate.gov/senators/
ME,2,"Collins, Susan M.",REP,https://www.senate.gov/senators/
DE,2,"Coons, Christopher A.",DEM,https://www.senate.gov/senators/
TX,2,"Cornyn, John",REP,https://www.senate.gov/senators/
NV,3,"Cortez Masto, Catherine",DEM,https://www.senate.gov/senators/
AR,2,"Cotton, Tom",REP,https://www.senate.gov/senators/
ND,1,"Cramer, Kevin",REP,https://www.senate.gov/senators/
ID,3,"Crapo, Mike",REP,https://www.senate.gov/senators/
TX,1,"Cruz, Ted",REP,https://www.senate.gov/senators/
UT,1,"Curtis, John R.",REP,https://www.senate.gov/senators/
MT,2,"Daines, Steve",REP,https://www.senate.gov/senators/
IL,3,"Duckworth, Tammy",DEM,https://www.senate.gov/senators/
IL,2,"Durbin, Richard J.",DEM,https://www.senate.gov/senators/
IA,2,"Ernst, Joni",REP,https://www.senate.gov/senators/
PA,3,"Fetterman, John",DEM,https://www.senate.gov/senators/
NE,1,"Fischer, Deb",REP,https://www.senate.gov/senators/
AZ,1,"Gallego, Ruben",DEM,https://www.senate.gov/senators/
NY,1,"Gillibrand, Kirsten E.",DEM,https://www.senate.gov/senators/
SC,2,"Graham, Darline",REP,https://www.senate.gov/senators/
IA,3,"Grassley, Chuck",REP,https://www.senate.gov/senators/
TN,2,"Hagerty, Bill",REP,https://www.senate.gov/senators/
NH,3,"Hassan, Margaret Wood",DEM,https://www.senate.gov/senators/
MO,1,"Hawley, Josh",REP,https://www.senate.gov/senators/
NM,1,"Heinrich, Martin",DEM,https://www.senate.gov/senators/
CO,2,"Hickenlooper, John W.",DEM,https://www.senate.gov/senators/
HI,1,"Hirono, Mazie K.",DEM,https://www.senate.gov/senators/
ND,3,"Hoeven, John",REP,https://www.senate.gov/senators/
OH,3,"Husted, Jon",REP,https://www.senate.gov/senators/
MS,2,"Hyde-Smith, Cindy",REP,https://www.senate.gov/senators/
WI,3,"Johnson, Ron",REP,https://www.senate.gov/senators/
WV,1,"Justice, James C.",REP,https://www.senate.gov/senators/
VA,1,"Kaine, Tim",DEM,https://www.senate.gov/senators/
AZ,3,"Kelly, Mark",DEM,https://www.senate.gov/senators/
LA,3,"Kennedy, John",REP,https://www.senate.gov/senators/
NJ,1,"Kim, Andy",DEM,https://www.senate.gov/senators/
ME,1,"King, Angus S., Jr.",IND,https://www.senate.gov/senators/
MN,1,"Klobuchar, Amy",DEM,https://www.senate.gov/senators/
OK,3,"Lankford, James",REP,https://www.senate.gov/senators/
UT,3,"Lee, Mike",REP,https://www.senate.gov/senators/
NM,2,"Luján, Ben Ray",DEM,https://www.senate.gov/senators/
WY,2,"Lummis, Cynthia M.",REP,https://www.senate.gov/senators/
MA,2,"Markey, Edward J.",DEM,https://www.senate.gov/senators/
KS,2,"Marshall, Roger",REP,https://www.senate.gov/senators/
KY,2,"McConnell, Mitch",REP,https://www.senate.gov/senators/
PA,1,"McCormick, David",REP,https://www.senate.gov/senators/
OR,2,"Merkley, Jeff",DEM,https://www.senate.gov/senators/
FL,3,"Moody, Ashley",REP,https://www.senate.gov/senators/
KS,3,"Moran, Jerry",REP,https://www.senate.gov/senators/
OH,1,"Moreno, Bernie",REP,https://www.senate.gov/senators/
AK,3,"Murkowski, Lisa",REP,https://www.senate.gov/senators/
CT,1,"Murphy, Christopher",DEM,https://www.senate.gov/senators/
WA,3,"Murray, Patty",DEM,https://www.senate.gov/senators/
GA,2,"Ossoff, Jon",DEM,https://www.senate.gov/senators/
CA,3,"Padilla, Alex",DEM,https://www.senate.gov/senators/
KY,3,"Paul, Rand",REP,https://www.senate.gov/senators/
MI,2,"Peters, Gary C.",DEM,https://www.senate.gov/senators/
RI,2,"Reed, Jack",DEM,https://www.senate.gov/senators/
NE,2,"Ricketts, Pete",REP,https://www.senate.gov/senators/
ID,2,"Risch, James E.",REP,https://www.senate.gov/senators/
NV,1,"Rosen, Jacky",DEM,https://www.senate.gov/senators/
SD,2,"Rounds, Mike",REP,https://www.senate.gov/senators/
VT,1,"Sanders, Bernard",IND,https://www.senate.gov/senators/
HI,3,"Schatz, Brian",DEM,https://www.senate.gov/senators/
CA,1,"Schiff, Adam B.",DEM,https://www.senate.gov/senators/
MO,3,"Schmitt, Eric",REP,https://www.senate.gov/senators/
NY,3,"Schumer, Charles E.",DEM,https://www.senate.gov/senators/
FL,1,"Scott, Rick",REP,https://www.senate.gov/senators/
SC,3,"Scott, Tim",REP,https://www.senate.gov/senators/
NH,2,"Shaheen, Jeanne",DEM,https://www.senate.gov/senators/
MT,1,"Sheehy, Tim",REP,https://www.senate.gov/senators/
MI,1,"Slotkin, Elissa",DEM,https://www.senate.gov/senators/
MN,2,"Smith, Tina",DEM,https://www.senate.gov/senators/
AK,2,"Sullivan, Dan",REP,https://www.senate.gov/senators/
SD,3,"Thune, John",REP,https://www.senate.gov/senators/
NC,2,"Tillis, Thom",REP,https://www.senate.gov/senators/
AL,2,"Tuberville, Tommy",REP,https://www.senate.gov/senators/
MD,3,"Van Hollen, Chris",DEM,https://www.senate.gov/senators/
VA,2,"Warner, Mark R.",DEM,https://www.senate.gov/senators/
GA,3,"Warnock, Raphael G.",DEM,https://www.senate.gov/senators/
MA,1,"Warren, Elizabeth",DEM,https://www.senate.gov/senators/
VT,3,"Welch, Peter",DEM,https://www.senate.gov/senators/
RI,1,"Whitehouse, Sheldon",DEM,https://www.senate.gov/senators/
MS,1,"Wicker, Roger F.",REP,https://www.senate.gov/senators/
OR,3,"Wyden, Ron",DEM,https://www.senate.gov/senators/
IN,3,"Young, Todd",REP,https://www.senate.gov/senators/
